iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
DOM,North America,Dominican Republic,2022-01-01,419927.0,1149.0,862.857,4247.0,0.0,1.429,37770.441,103.347,77.61,381.997,0.0,0.128,1.77,,,,,,,,,,,,,8026.0,0.733,0.1075,9.3,samples tested,14087055.0,6938638.0,5699664.0,1448753.0,504.0,7013.0,126.71,62.41,51.27,13.03,631.0,758.0,0.007,37.96,11117874.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,,,,
ECU,South America,Ecuador,2022-01-01,551620.0,2202.0,1362.571,33682.0,1.0,4.857,30993.828,123.724,76.559,1892.488,0.056,0.273,1.26,,,,,,,,,2048815.0,1854.0,114.533,0.104,5038.0,0.282,0.283,3.5,people tested,27567784.0,14224890.0,12690811.0,1128844.0,1453.0,51696.0,154.89,79.93,71.31,6.34,2905.0,10673.0,0.06,63.43,17797737.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,,,,
EGY,Africa,Egypt,2022-01-01,386358.0,783.0,834.0,21768.0,16.0,28.143,3536.064,7.166,7.633,199.227,0.146,0.258,0.98,,,,,,,,,,,,,,,,,,,,,,,424464.0,,,,,3885.0,204319.0,0.187,43.52,109262178.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,,,,
SLV,North America,El Salvador,2022-01-01,121945.0,0.0,29.143,3824.0,0.0,0.857,19312.92,0.0,4.615,605.622,0.0,0.136,0.67,,,,,,,,,1164573.0,2483.0,178.657,0.381,2469.0,0.379,0.013,76.9,tests performed,,,,,,7707.0,,,,,1221.0,798.0,0.013,31.48,6314167.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,,,,
GNQ,Africa,Equatorial Guinea,2022-01-01,13710.0,0.0,11.429,175.0,0.0,0.0,8388.061,0.0,6.992,107.069,0.0,0.0,0.56,,,,,,,,,,,,,189.0,0.13,0.0605,16.5,tests performed,,,,,,49.0,,,,,30.0,33.0,0.002,,1634466.0,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,,,,
ERI,Africa,Eritrea,2022-01-01,8026.0,15.0,21.857,76.0,0.0,0.571,2216.936,4.143,6.037,20.993,0.0,0.158,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,3620312.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,,,,
EST,Europe,Estonia,2022-01-01,242123.0,715.0,855.714,1938.0,6.0,4.429,182225.346,538.12,644.023,1458.567,4.516,3.333,1.3,19.0,14.3,236.0,177.617,,,,,2540245.0,3418.0,1916.894,2.579,6596.0,4.977,0.1297,7.7,tests performed,1809158.0,842202.0,818939.0,322179.0,231.0,3679.0,136.16,63.39,61.63,24.25,2769.0,413.0,0.031,54.63,1328701.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,,,,
SWZ,Africa,Eswatini,2022-01-01,66241.0,132.0,265.714,1308.0,5.0,5.143,55558.678,110.713,222.864,1097.066,4.194,4.313,0.54,,,,,,,,,,,,,,,,,,,,,,,722.0,,,,,606.0,176.0,0.015,60.19,1192271.0,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,,,,
ETH,Africa,Ethiopia,2022-01-01,424340.0,3998.0,4084.286,6947.0,10.0,7.571,3527.846,33.238,33.956,57.755,0.083,0.063,1.25,,,,,,,,,,,,,9424.0,0.08,0.4334,2.3,tests performed,10916348.0,9344163.0,,,196.0,12044.0,9.08,7.77,,,100.0,99.0,0.0,40.74,120283026.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,,,,
OWID_EUR,,Europe,2022-01-01,89343046.0,744980.0,723747.429,1536098.0,2532.0,3122.571,119338.039,995.091,966.73,2051.81,3.382,4.171,,,,,,,,,,,,,,,,,,,1109488423.0,487911003.0,457778792.0,180265877.0,1367561.0,3080235.0,148.2,65.17,61.15,24.08,4114.0,439345.0,0.059,,748655221.0,,,,,,,,,,,,,,,,,,
